2024-07-22 11:16:58.053253 ; Session        ; Debug       ; Session log loaded as 'C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\SessionLogs\editor 2024-07-22 11-16-57.txt'. [4.19 ms]
2024-07-22 11:16:58.063145 ; Session        ; Debug       ; Running '"C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\editor.exe" ' in 'C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release'.
2024-07-22 11:16:58.097086 ; Session        ; Debug       ; Microsoft Windows 10.0.19045 X64
2024-07-22 11:16:58.097086 ; Session        ; Debug       ; .NET Framework 4.8.4724.0
2024-07-22 11:16:58.109222 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X64
2024-07-22 11:16:58.150901 ; AssemblyFinder ; Debug       ; Found 26/81 assembly files. [61.4 ms]
2024-07-22 11:16:58.168795 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2024-07-22 11:16:58.172359 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2024-07-22 11:16:58.188107 ; Resolver       ; Debug       ; Unable to load C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll. Could not load file or assembly 'file:///C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll' or one of its dependencies. Operation is not supported. (Exception from HRESULT: 0x80131515)
2024-07-22 11:16:58.188107 ; Resolver       ; Debug       ; Unable to load C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll. Could not load file or assembly 'file:///C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll' or one of its dependencies. Operation is not supported. (Exception from HRESULT: 0x80131515)
2024-07-22 11:16:58.188107 ; Resolver       ; Debug       ; Unable to find match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null
2024-07-22 11:16:58.190107 ; Resolver       ; Debug       ; Unable to find match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
