2024-05-24 16:00:34.101537 ; Settings       ; Debug       ; GuiControlsSettings loaded from C:\Users\yuxia\source\repos\BT2202A\bin\Release\Settings\GUI Controls.xml [76.2 ms]
2024-05-24 16:00:34.101537 ; Main           ; Debug       ; Window initial dimensions: 1024px, 768px.
2024-05-24 16:00:34.101537 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [1.75 ms]
2024-05-24 16:00:34.121568 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [561 us]
2024-05-24 16:00:34.121568 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Licensing, Version=1.1.1.0, Culture=neutral, PublicKeyToken=null in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Packages\Keysight Licensing\Keysight.OpenTap.Licensing.dll
2024-05-24 16:00:34.355600 ; Main           ; Debug       ; GUI initialized. [254 ms]
2024-05-24 16:00:34.355600 ; Main           ; Debug       ; Docking manager initialized. [61.5 us]
2024-05-24 16:00:34.355600 ; OpenTAP        ; Information ; OpenTAP version '9.17.4+ea67c63a' 64-bit initialized 05/24/2024 [1.41 s]
2024-05-24 16:00:33.123096 ; Session        ; Debug       ; Session log loaded as 'C:\Users\yuxia\source\repos\BT2202A\bin\Release\SessionLogs\editor 2024-05-24 16-00-32.txt'. [4.50 ms]
2024-05-24 16:00:33.133124 ; Session        ; Debug       ; Running '"C:\Users\yuxia\source\repos\BT2202A\bin\Release\editor.exe" ' in 'C:\Users\yuxia\source\repos\BT2202A\bin\Release'.
2024-05-24 16:00:33.153339 ; Session        ; Debug       ; Microsoft Windows 10.0.22631 X64
2024-05-24 16:00:33.153339 ; Session        ; Debug       ; .NET Framework 4.8.9241.0
2024-05-24 16:00:33.163340 ; AssemblyFinder ; Debug       ; Found 24/79 assembly files. [9.57 ms]
2024-05-24 16:00:33.163340 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X64
2024-05-24 16:00:33.183370 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2024-05-24 16:00:33.193341 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2024-05-24 16:00:33.203342 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2024-05-24 16:00:33.263854 ; Searcher       ; Debug       ; Ordered 22 assemblies according to references. [94.7 ms]
2024-05-24 16:00:33.319200 ; PluginManager  ; Debug       ; Found 17 plugin assemblies containing 263 plugin types. [153 ms]
2024-05-24 16:00:33.319200 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.dll
2024-05-24 16:00:33.319200 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Package.dll
2024-05-24 16:00:33.319200 ; PluginManager  ; Debug       ; Found version 1.1.1.0          of Keysight.OpenTap.Licensing.dll
2024-05-24 16:00:33.319200 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Plugins.BasicSteps.dll
2024-05-24 16:00:33.319200 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.Wpf.dll
2024-05-24 16:00:33.319200 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of PackageManager.exe
2024-05-24 16:00:33.319200 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Editor.exe
2024-05-24 16:00:33.319200 ; PluginManager  ; Debug       ; Found version 9.11.0+98498e58  of Csv.dll
2024-05-24 16:00:33.319200 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of ResultsViewer.exe
2024-05-24 16:00:33.319200 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of RunExplorer.exe
2024-05-24 16:00:33.319200 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.CommunityEditionPopup.exe
2024-05-24 16:00:33.319200 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
2024-05-24 16:00:33.324706 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Sdk.New.dll
2024-05-24 16:00:33.324706 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll
2024-05-24 16:00:33.324706 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll
2024-05-24 16:00:33.324706 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SQLite.dll
