2024-05-23 17:04:57.333250 ; Session        ; Debug       ; Session log loaded as 'C:\Users\yuxia\source\repos\BT2202A\bin\Debug\SessionLogs\editor 2024-05-23 17-04-57.txt'. [4.38 ms]
2024-05-23 17:04:57.353272 ; Session        ; Debug       ; Running '"C:\Users\yuxia\source\repos\BT2202A\bin\Debug\editor.exe" ' in 'C:\Users\yuxia\source\repos\BT2202A\bin\Debug'.
2024-05-23 17:04:57.458197 ; Session        ; Debug       ; Microsoft Windows 10.0.22631 X64
2024-05-23 17:04:57.458197 ; Session        ; Debug       ; .NET Framework 4.8.9241.0
2024-05-23 17:04:57.475030 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X64
2024-05-23 17:04:57.506200 ; AssemblyFinder ; Debug       ; Found 25/80 assembly files. [40.4 ms]
2024-05-23 17:04:57.525717 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\yuxia\source\repos\BT2202A\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2024-05-23 17:04:57.525717 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in C:\Users\yuxia\source\repos\BT2202A\bin\Debug\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2024-05-23 17:04:57.545815 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\yuxia\source\repos\BT2202A\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2024-05-23 17:04:57.680240 ; Searcher       ; Debug       ; Ordered 23 assemblies according to references. [163 ms]
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found 18 plugin assemblies containing 266 plugin types. [236 ms]
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.dll
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 0.1.0-Development of BT2202A.dll
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Package.dll
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 1.1.1.0          of Keysight.OpenTap.Licensing.dll
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Plugins.BasicSteps.dll
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.Wpf.dll
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of PackageManager.exe
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Editor.exe
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 9.11.0+98498e58  of Csv.dll
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of ResultsViewer.exe
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of RunExplorer.exe
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.CommunityEditionPopup.exe
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Sdk.New.dll
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SQLite.dll
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Found version 1.2.6+ef0ad804   of OpenTap.VSSdk.Installer.dll
2024-05-23 17:04:57.749425 ; PluginManager  ; Debug       ; Searched 25 Assemblies. [236 ms]
2024-05-23 17:04:57.759435 ; PluginManager  ; Debug       ; Loaded OpenTap. [287 us]
2024-05-23 17:04:57.860802 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [8.81 ms]
2024-05-23 17:04:57.860802 ; PluginManager  ; Debug       ; Loaded Keysight.OpenTap.Wpf. [133 us]
2024-05-23 17:04:57.864008 ; PluginManager  ; Debug       ; Loaded OpenTap.Package. [12.7 ms]
2024-05-23 17:04:57.900827 ; PluginManager  ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [25.1 ms]
2024-05-23 17:04:57.970836 ; PluginManager  ; Debug       ; Loaded mscorlib. [500 ns]
2024-05-23 17:04:58.081804 ; Settings       ; Debug       ; EditorSettings loaded from C:\Users\yuxia\source\repos\BT2202A\bin\Debug\Settings\Editor.xml [411 ms]
2024-05-23 17:04:58.087311 ; Resolver       ; Debug       ; Found match for Keysight.Ccl.Wsl, Version=4.0.1.9, Culture=neutral, PublicKeyToken=55333af07c70062e in C:\Users\yuxia\source\repos\BT2202A\bin\Debug\Dependencies\Keysight.Ccl.Wsl.4.0.1.9\Keysight.Ccl.Wsl.dll
2024-05-23 17:04:58.092328 ; Resolver       ; Debug       ; Found match for MahApps.Metro, Version=1.3.0.0, Culture=neutral, PublicKeyToken=f4fb5a3c4d1e5b4f in C:\Users\yuxia\source\repos\BT2202A\bin\Debug\Dependencies\MahApps.Metro.1.3.0.0\MahApps.Metro.dll
2024-05-23 17:04:58.213794 ; GUI            ; Debug       ; Loaded Light Theme. [10.1 ms]
2024-05-23 17:04:58.275143 ; Resolver       ; Debug       ; Found match for AvalonDock, Version=4.60.0.0, Culture=neutral, PublicKeyToken=3e4669d2f30244f4 in C:\Users\yuxia\source\repos\BT2202A\bin\Debug\Dependencies\AvalonDock.4.60.0.0\AvalonDock.dll
2024-05-23 17:04:58.438225 ; Settings       ; Debug       ; GuiControlsSettings loaded from C:\Users\yuxia\source\repos\BT2202A\bin\Debug\Settings\GUI Controls.xml [76.4 ms]
2024-05-23 17:04:58.438225 ; Main           ; Debug       ; Window initial dimensions: 1024px, 768px.
2024-05-23 17:04:58.471780 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Licensing, Version=1.1.1.0, Culture=neutral, PublicKeyToken=null in C:\Users\yuxia\source\repos\BT2202A\bin\Debug\Packages\Keysight Licensing\Keysight.OpenTap.Licensing.dll
2024-05-23 17:04:58.471780 ; Settings       ; Debug       ; EngineSettings loaded from C:\Users\yuxia\source\repos\BT2202A\bin\Debug\Settings\Engine.xml [24.1 ms]
2024-05-23 17:04:58.471780 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [1.02 ms]
2024-05-23 17:04:58.538096 ; Session        ; Debug       ; Session log loaded as 'SessionLogs\SessionLog 2024-05-23 17-04-58.txt'. [36.0 ms]
2024-05-23 17:04:58.746582 ; Main           ; Debug       ; GUI initialized. [303 ms]
2024-05-23 17:04:58.746582 ; Main           ; Debug       ; Docking manager initialized. [42.8 us]
2024-05-23 17:04:58.746582 ; OpenTAP        ; Information ; OpenTAP version '9.17.4+ea67c63a' 64-bit initialized 05/23/2024 [1.72 s]
2024-05-23 17:04:58.798093 ; PluginManager  ; Debug       ; Loaded PackageManager. [203 us]
2024-05-23 17:04:58.798093 ; PluginManager  ; Debug       ; Loaded Editor. [11.4 us]
2024-05-23 17:04:58.798093 ; PluginManager  ; Debug       ; Loaded ResultsViewer. [5.25 ms]
2024-05-23 17:04:58.808215 ; PluginManager  ; Debug       ; Loaded RunExplorer. [4.71 ms]
2024-05-23 17:04:58.813255 ; Settings       ; Debug       ; ConnectionSettings loaded from C:\Users\yuxia\source\repos\BT2202A\bin\Debug\Settings\Bench\Default\Connections.xml [994 us]
