2024-10-24 12:29:46.625426 ; Session        ; Debug       ; Session log loaded as 'C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\bin\Release\SessionLogs\tap 2024-10-24 12-29-46.txt'. [1.58 ms]
2024-10-24 12:29:46.648178 ; Session        ; Debug       ; Running '.\tap  package create "C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\\package.xml" --install' in 'C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\bin\Release'.
2024-10-24 12:29:46.674142 ; AssemblyFinder ; Debug       ; Found 8/29 assembly files. [7.12 ms]
2024-10-24 12:29:46.693059 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2024-10-24 12:29:46.751318 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2024-10-24 12:29:46.834098 ; Searcher       ; Debug       ; Ordered 8 assemblies according to references. [130 ms]
2024-10-24 12:29:46.878978 ; Searcher       ; Warning     ; Plugin with duplicate type name BT2202a.MyTestStep defined in 'BT2202a' and 'BT2202A'
2024-10-24 12:29:46.878978 ; Searcher       ; Warning     ; Plugin with duplicate type name OpenTap.Plugins.PluginDevelopment.ScpiInstrumentExample defined in 'BT2202a' and 'BT2202A'
2024-10-24 12:29:46.884962 ; PluginManager  ; Debug       ; Found 5 plugin assemblies containing 179 plugin types. [183 ms]
2024-10-24 12:29:46.885959 ; PluginManager  ; Debug       ; Found version 9.26.1+3d268116  of OpenTap.dll
2024-10-24 12:29:46.885959 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2024-10-24 12:29:46.885959 ; PluginManager  ; Debug       ; Found version 9.26.1+3d268116  of OpenTap.Package.dll
2024-10-24 12:29:46.885959 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2024-10-24 12:29:46.885959 ; PluginManager  ; Debug       ; Found version 9.26.1+3d268116  of OpenTap.Plugins.BasicSteps.dll
2024-10-24 12:29:46.885959 ; PluginManager  ; Debug       ; Searched 8 Assemblies. [185 ms]
2024-10-24 12:29:46.902913 ; AssemblyData   ; Debug       ; Loaded OpenTap. [279 us]
2024-10-24 12:29:46.913399 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2024-10-24 12:29:46.913399 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9277.0
2024-10-24 12:29:46.913399 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.26.1+3d268116 X64
2024-10-24 12:29:46.916391 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [2.75 ms]
