2024-07-22 11:16:52.824525 ; Session        ; Debug       ; Session log loaded as 'C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\SessionLogs\tap 2024-07-22 11-16-51.txt'. [5.99 ms]
2024-07-22 11:16:52.848530 ; Session        ; Debug       ; Running '.\tap  package create "C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\\package.xml" --install' in 'C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release'.
2024-07-22 11:16:52.903526 ; Session        ; Debug       ; Microsoft Windows 10.0.19045 X64
2024-07-22 11:16:52.903526 ; Session        ; Debug       ; .NET Framework 4.8.4724.0
2024-07-22 11:16:52.906526 ; AssemblyFinder ; Debug       ; Found 26/81 assembly files. [36.1 ms]
2024-07-22 11:16:52.922397 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X64
2024-07-22 11:16:52.983689 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2024-07-22 11:16:53.010783 ; Resolver       ; Debug       ; Unable to load C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll. Could not load file or assembly 'file:///C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll' or one of its dependencies. Operation is not supported. (Exception from HRESULT: 0x80131515)
2024-07-22 11:16:53.016688 ; Resolver       ; Debug       ; Unable to find match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
2024-07-22 11:16:53.017688 ; PluginManager  ; Error       ; Plugin search failed for: C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\BT2202A.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Editor.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\OpenTap.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\OpenTap.Package.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\PackageManager.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\ResultsViewer.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\RunExplorer.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\tap.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\x64\SQLite.Interop.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\x86\SQLite.Interop.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\BT2202A\BT2202A.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\CSV\Csv.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\Editor CE\Keysight.OpenTap.CommunityEditionPopup.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\Keysight Licensing\Keysight.OpenTap.Licensing.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\OpenTAP\OpenTap.Cli.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\OpenTAP\Tap.Upgrader.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\OSIntegration\OpenTap.OSIntegration.Windows.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SDK\Keysight.OpenTap.Sdk.MSBuild.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SDK\OpenTap.Sdk.New.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SQLite and PostgreSQL\Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SQLite and PostgreSQL\Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SQLite and PostgreSQL\Keysight.OpenTap.Plugins.ResultListener.SQLite.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\Visual Studio SDK CE\OpenTap.VSSdk.Debugger.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\Visual Studio SDK CE\Install\OpenTap.VSSdk.Installer.dll
2024-07-22 11:16:53.018773 ; PluginManager  ; Debug       ; Exception: Could not load file or assembly 'System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified.
